title,company,location,description
Cybersecurity College Intern,Republic National Distributing Company,"Atlanta, GA","Republic National Distributing Company (RNDC) is a family-owned business with roots extending before Prohibition that has evolved into one of the nation’s largest wine and spirits wholesalers. Our success is grounded in our core values of Family, Service, Accountability, Honesty, and Professionalism. We offer a vibrant, inclusive culture and workplace experience for individuals who want a career that makes them feel accomplished and engaged. RNDC values the health and well-being of our associates, inside and outside the office, offering dynamic health and wellness benefits that supply exceptional care and value. RNDC is geared toward growing our footprint and our people. Join our team of energetic professionals who believe in many happy hours and are experts in our craft.

**Summary**
-----------


RNDC is seeking a proactive and dedicated Cybersecurity Analyst Intern to serve as the first line of defense against cyber threats. In this role, you will be responsible for reviewing system logs, computer networks, and identifying potential vulnerabilities to ensure the security and integrity of our critical business operations.

**In this role, you will**
--------------------------

* Document security incidents and assess the damage they cause, ensuring swift and effective response measures.
* Collaborate with the security team to conduct tests and uncover network vulnerabilities, proactively addressing potential security risks.
* Remediate detected vulnerabilities promptly to uphold a high-security standard and mitigate potential risks.
* Stay abreast of Information Technology (IT) security trends and news to continuously enhance knowledge and skills.
* Enforce company-wide best practices for IT security, ensuring compliance with established protocols and standards.
* Assist colleagues in installing security software and understanding information security management, promoting a culture of cybersecurity awareness.
* Aid in documenting security certifications and audits, maintaining comprehensive records of compliance efforts.
* Conduct daily administrative tasks, including reporting and communication with relevant departments within the organization.
* Provide assistance to fellow employees with cybersecurity, software, hardware, or IT needs, fostering a supportive and secure working environment.
**What you bring to RNDC**
--------------------------

* Demonstrated interest in the field of Cybersecurity, preferably supported by professional part-time, full-time, or internship experience.
* Strong problem-solving skills, with the ability to analyze complex situations and devise effective solutions.
* Excellent time-management skills, capable of prioritizing tasks and meeting deadlines in a fast-paced environment.
* Deep academic knowledge and professional experience in two or more of the following domains: Cyber Security, Network, Application Infrastructure, Software Development and Configuration, and Software Development Lifecycle.
* Proficiency in various security domains, including Security and Risk Management, Asset Security, Security Architecture and Engineering, Communication and Network Security, Identity and Access Management, Security Assessment and Testing, Security Operations, and Software Development Security.
* Familiarity with cybersecurity tools and technologies such as Anti-virus / EDR, Security Information and Event Management (SIEM), Web Proxies / Firewalls / Intrusion Prevention Systems, Data Loss Prevention (DLP), Email Security, Security Awareness Training Platforms, Privileged Identity and Access Management, Vulnerability Management, and Threat Intelligence Feeds.
**What's in it for you**
------------------------

* 401(k) with company matching
* Medical, dental and vision benefits\*
* Paid Time Off Program – work your way up to 5 weeks of PTO a year with the ability to carryover unused PTO
* Paid volunteer time
* Paid parental leave
* Paid caregivers leave
* Fertility benefits
* Paid training
* Company paid life insurance, short-term disability, and company-paid holidays
* Associate resource groups, and diversity, equity, and inclusion programs available for all associates

* Participation in these programs is subject to applicable wait periods and all plan and program terms and eligibility

  

COVID-19 considerations:


We follow CDC Guidelines and have a fun and safe environment for our teams.


Republic National Distributing Company and National Distributing Company are Equal Opportunity/Affirmative Action employers. It is our policy not to discriminate against any Employee or Applicant. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, status as a protected veteran, among other things, or status as a qualified individual with disability. This policy of nondiscrimination in employment includes but is not limited to: recruitment, hiring, placement, promotion, transfer, employment advertising or solicitations, compensation, layoff or termination of employment.  

  

RNDC is committed to providing reasonable accommodation to people with disabilities throughout the job application and interview process, to the point of undue hardship."
Information Security - Intern,State of Georgia,"Conyers, GA","**Internship – Summer**


**Max 29 hours per week**


**Compensation: $15/hr.**



**Duties and Responsibilities:**


* Assist in monitoring security alerts and logs to identify potential threats and vulnerabilities.


* Work alongside the Information Security team to respond to security incidents, conduct investigations, and implement corrective actions.


* Support the team in conducting vulnerability assessments, identifying weaknesses in systems, and assisting in the development of mitigation strategies.


* Contribute to the development and delivery of security awareness programs for employees, promoting best practices and awareness of potential security risks.


* Assist in the development and enforcement of security policies and procedures, ensuring alignment with industry best practices and compliance requirements.


* Maintain detailed records of security incidents, investigations, and solutions. Contribute to the creation and updating of documentation related to security policies and procedures.


* Collaborate with other IT professionals, departments, and stakeholders to address security concerns and contribute to the overall security strategy.


* Stay informed about the latest developments in cybersecurity, including new threats, vulnerabilities, and security technologies. Provide research support for ongoing projects.

  


**Competencies Needed:**


* Basic understanding of information security concepts and principles.



 • Strong analytical and problem-solving skills.



 • Good communication skills, both written and verbal.


* Eagerness to learn and ability to work in a collaborative team environment.
* Familiarity with basic security tools and technologies is a plus.



 • Ability to handle sensitive information with confidentiality and discretion.


* Familiarity with common operating systems and network protocols.

  


**Minimum Qualifications:**


* Current enrollment in a relevant degree program (e.g., Computer Science, Information Security, Cybersecurity).



 • Current academic transcript.

  


**Preferred Qualifications:** Preferences will be given to those applicants who, in addition to meeting the minimum qualifications, also possess one or more of the following:


* Strong knowledge of information security principles, concepts, and best practices.
* Advanced to expert knowledge in the use of Excel.



 • Excellent written and verbal communication

  


**Applicant Instructions**


**Use the following link to apply for this position:**



www.careers.ga.gov


**If you are having issues with your profile or application, contact the Taleo Helpdesk at**


**1-877-318-2772 or HRA@doas.ga.gov.**



Application materials should be filled out carefully and completely. An incomplete application/online resume or an application/online resume with insufficient information may result in an applicant not being considered for a vacancy.



Describe your employment background in full.



All resumes will be reviewed and considered; however, all applicants may not be interviewed.



Due to the large volume of applications received by this office, we are unable to provide information on your application status over the telephone. Applicants can log back into your profile and see the status of each of the applications you have submitted."
"Intern, Cybersecurity Services",AMERICAN CANCER SOCIETY,"Atlanta, GA","At the American Cancer Society, we're leading the fight for a world without cancer. Our employees and 1.5 million volunteers are raising the bar every single day. We actively seek candidates from diverse backgrounds including communities of color, the LGBTQ community, veterans, and people with disabilities. The greater the diversity of our people, the better we can serve our communities.  

  

The people who work at the American Cancer Society focus their diverse talents on our lifesaving mission. It is a calling. And the people who answer it are fulfilled.


This is a remote, home-based internship. Full time students from all US geographies will be considered.


Our 2024 Summer internship program is an 8 week Paid Internship that runs from June 3 – July 26 at 37.5 hours weekly. The program will join interns across the country who are supporting different department focuses at American Cancer Society and ACS's Cancer Action Network. 80% of the time will be in working within the given department, with the Intern's manager, their mentor, and the team. The other 20% will be with a cohort of other interns around American Cancer Society and ACS CAN.


The Intern on the Cybersecurity Services team will assist with key tasks across the Cybersecurity Services teams, which include; GRC Services, Identity & Access Management, Detection & Response, and Data Security.

**Position Requirements:**

Must be available for entirety of 8 week program: **June 3 – July 26, 2024 at 37.5 hours per week.**


Full-time student, If you are an undergraduate student you have completed your freshman year of college;


Preferred Major: Cybersecurity


Have a minimum of a B average (cumulative 3.0 on 4.0 scale);


Plan to continue your education in the following term/semester;


Upload a resume upon application submission;


Note: an internship assignment may coincide with your last term/trimester as a full time student, but the internship must be disengaged upon graduation.


The starting rate is $15 per hour. The final candidate's relevant experience/skills will be considered before an offer is extended. Actual starting pay will vary based on non-discriminatory factors including, but not limited to, geographic location, experience, skills, specialty, and education.


The American Cancer Society has adopted a vaccination policy that requires all staff, regardless of position or work location, to be fully vaccinated against COVID-19 (except where prohibited by state law).


ACS provides staff a generous paid time off policy; medical, dental, retirement benefits, wellness programs, and professional development programs to enhance staff skills. Further details on our benefits can be found on our careers site at: jobs.cancer.org/benefits. We are a proud equal opportunity employer.

 **Position Requirements:**"
SUMMER INTERN - Governance Risk and Compliance Intern,"Datascan Technologies, LLC","Alpharetta, GA","**Company** **Overview**  

DataScan Is a provider of wholesale and audit intelligence in the automotive industry. DataScan’s solutions are the most comprehensive in the industry, providing banks, independent finance companies, and captive financial institutions with clarity critical to their success – helping them manage risk while increasing productivity and profits.  

We are seeking a Governance Risk and Compliance intern to join our team for the summer starting in June 2024. This position will be in our corporate office in downtown Alpharetta, GA.  

To learn more about our products: https://vimeo.com/251178810  

Position Overview
The Governance Risk and Compliance intern provides administrative support to the compliance team on security, governance, and compliance related deliverables such as: client’s contractual obligations, policies and procedures reviews, risk management, information security & compliance events, and client questionnaire responses. The Governance Risk and Compliance intern will help with the planning of events and assist in the administration and compliance planning of security events and clients risks assessments. They will also assist in updating and developing presentation content, evidence items artifacts, and administration of internal compliance, governance, and security company projects as they arise.  

What You'll be doing
You will be working directly with our governance, compliance, security engineers, and product teams - you will be one of us! You will have the opportunity to work on assessments, company policies, risk assessments, investigating security issues, or assisting in modernizing our stack using industry standard tools and frameworks. You will be working in a collaborative environment to understand client requirements, regulatory requirements, business processes, and information security features in all parts of our applications.  

Position Overview
The Governance Risk and Compliance intern provides administrative support to the compliance team on security, governance, and compliance related deliverables such as: client’s contractual obligations, policies and procedures reviews, risk management, information security & compliance events, and client questionnaire responses. The Governance Risk and Compliance intern will help with the planning of events and assist in the administration and compliance planning of security events and clients risks assessments. They will also assist in updating and developing presentation content, evidence items artifacts, and administration of internal compliance, governance, and security company projects as they arise.  

What You'll Be Doing
The Governance Risk and Compliance intern provides administrative support to the compliance team on security, governance, and compliance related deliverables such as: client’s contractual obligations, policies and procedures reviews, risk management, information security & compliance events, and client questionnaire responses. The Governance Risk and Compliance intern will help with the planning of events and assist in the administration and compliance planning of security events and clients risks assessments. They will also assist in updating and developing presentation content, evidence items artifacts, and administration of internal compliance, governance, and security company projects as they arise.  

What you need* To be actively working toward an Engineering, Computer Science, or related degree
* Genuine curiosity and enthusiasm for information security, risk management, compliance and problem solving.
* Basic understanding of business risks management, information security and compliance.
* The ability to work collaboratively with one or more mentors daily.
* Must be at least 18 years old at the start of the program (June 2024)
* Must have a high school diploma or equivalent.
* Required to be actively pursuing an undergraduate or graduate degree at an accredited college or university.
* Preferred majors are Information Technology or Computer Science
* Completed at least one semester of study at an accredited college or university.
  

Home | DataScan (onedatascan.com)


DataScan | Alpharetta GA | Facebook"
Information Security Intern - May 2025 Grads,ADP,"Alpharetta, GA","**ADP is hiring Information Security Interns to join our Global Enterprise Technology and Security team!**  

* Are you looking for real corporate experience at a Fortune 250 company?
* Do you want to make a valuable contribution to a business' success?
Are you ready to join an energetic, collaborative team and experience an inclusive culture of belonging?  
* 

  

  

If so, then this may be just the opportunity you've been searching for. Read on and see for yourself.  

  

As an **Information Security Intern** at ADP, you will work alongside seasoned professionals who will guide and support you to enhance your professional skills while gaining relevant experience in a business environment. **Even better**: You will also participate in a variety of functional and leadership activities to enhance your personal and professional capabilities. Your objective: to learn as much as possible and gain relevant business experience during your time interning with us.  

  

**HERE'S WHAT YOU CAN EXPECT ON A TYPICAL DAY:**  

* Assist in the design, implementation, and maintenance of security measures, including Firewalls, Proxys, Application Security, and Intrusion Detection.
* Work with Security SME's on developing cyber security strategy, with specific focus on how it related to private and public cloud systems.
* Conduct regular security assessments, reliability, resiliency, and vulnerability scans.
* Collaborate with the IT team to ensure compliance with security policies and procedures.
* Provide regular updates to senior leadership on security maturity initiatives.
* Analyze and respond to security incidents, providing timely resolution and plans/automation to remediate automatically going forward.
* Stay informed about the latest cybersecurity trends and threats.
  

  

  

**TO SUCCEED IN THIS ROLE:**  

* You have completed at least 3 years of a 4-year bachelor's degree program: **May 2025 graduates.**
* Self-Starter. You are high-reaching and unstoppable. You have a can't-stop-won't-stop attitude and an urge to persevere until you get it right.
* Insatiable Appetite to Learn. You're always learning, growing, questioning, and challenging ""what's been done before.""
* Agile Solution Seeker. You're a problem solver who always can find the right answer even in times of fast-paced change.
* Basic understanding of networking protocols and security technologies and knowledge of security tools and technologies is a plus.
* Excellent communication and teamwork abilities.
  

  

  

**YOU'LL LOVE WORKING HERE BECAUSE YOU CAN:**  

* **Be yourself** in a culture that values equity, inclusion, and belonging and creates a safe space for diverse perspectives and insights.
* **Continuously learn.** Ongoing training, development, and mentorship opportunities for even the most insatiable learner.
* **Balance work and life.** Resources and flexibility to more easily integrate your work and your life.

  

What are you waiting for? **Apply today!**  

  

**Diversity, Equity, Inclusion & Equal Employment Opportunity at ADP:** ADP affirms that inequality is detrimental to our associates, our clients, and the communities we serve. Our goal is to impact lasting change through our actions. Together, we unite for equality and equity. ADP is committed to equal employment opportunities regardless of any protected characteristic, including race, color, genetic information, creed, national origin, religion, sex, affectional or sexual orientation, gender identity or expression, lawful alien status, ancestry, age, marital status, or protected veteran status and will not discriminate against anyone on the basis of a disability. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance.  

  

**Ethics at ADP:** ADP has a long, proud history of conducting business with the highest ethical standards and full compliance with all applicable laws. We also expect our people to uphold our values with the highest level of integrity and behave in a manner that fosters an honest and respectful workplace. Click https://jobs.adp.com/life-at-adp/ to learn more about ADP's culture and our full set of values."
IT Operations Intern - Summer 2024 - ELSYS,Georgia Tech Research Institute,"Atlanta, GA","The Georgia Tech Research Institute (GTRI) is the nonprofit, applied research division of the Georgia Institute of Technology (Georgia Tech). Founded in 1934 as the Engineering Experiment Station, GTRI has grown to more than 2,900 employees, supporting eight laboratories in over 20 locations around the country and performing more than $940 million of problem-solving research annually for government and industry. GTRI's renowned researchers combine science, engineering, economics, policy, and technical expertise to solve complex problems for the U.S. federal government, state, and industry.



Georgia Tech's Mission and Values



Georgia Tech's mission is to develop leaders who advance technology and improve the human condition. The Institute has nine key values that are foundational to everything we do:



1. Students are our top priority.
  

2. We strive for excellence.
  

3. We thrive on diversity.
  

4. We celebrate collaboration.
  

5. We champion innovation.
  

6. We safeguard freedom of inquiry and expression.
  

7. We nurture the wellbeing of our community.
  

8. We act ethically.
  

9. We are responsible stewards.
  

  

Over the next decade, Georgia Tech will become an example of inclusive innovation, a leading technological research university of unmatched scale, relentlessly committed to serving the public good; breaking new ground in addressing the biggest local, national, and global challenges and opportunities of our time; making technology broadly accessible; and developing exceptional, principled leaders from all backgrounds ready to produce novel ideas and create solutions with real human impact.



Our Interns work in a collaborative environment managing the helpdesk ticket systems. We provide IT support to ELSYS employees and assist researchers and engineers with various projects. Students will also be exposed to virtualization, DevOps, Linux, scripting, and server infrastructure.


### **Required Minimum Qualifications**


**Intern**


* Pursuing a Bachelor’s degree in Information Technology, Computer Information Systems, Information Systems, Information Security Assurance, Systems Engineering, Computer Science, or Applied Computer Science.
* 3.0 or higher cumulative GPA
* Must be registered for Full-time Internship Credit
* Be interested in learning IT operations (including but not limited to system administration/deployment, networking, software troubleshooting, and security)
* Basic familiarity with Microsoft Windows operating systems, various types of computer hardware, and networking
* A passion for technology, and a desire to grow as an IT professional

### **Preferred Qualifications**


* Task/team leadership experience
* Ability to clearly communicate technical ideas
* Knowledge of Linux operating systems is considered a plus

### **Hours per Week**



40 hours per week


### **U.S. Citizenship Requirements**



Due to our research contracts with the US federal government, candidates for this position are required to be US Citizens.


### **Clearance Type Required**



Candidates must be able to obtain and maintain an active security clearance.


### **Housing and Relocation**



Housing and relocation assistance are not available for this position.


### **Equal Employment Opportunity**



The Georgia Institute of Technology (Georgia Tech) is an Equal Employment Opportunity Employer. The University is committed to maintaining a fair and respectful environment for all. To that end, and in accordance with federal and state law, Board of Regents policy, and University policy, Georgia Tech provides equal opportunity to all faculty, staff, students, and all other members of the Georgia Tech community, including applicants for admission and/or employment, contractors, volunteers, and participants in institutional programs, activities, or services. Georgia Tech complies with all applicable laws and regulations governing equal opportunity in the workplace and in educational activities.

  

Georgia Tech prohibits discrimination, including discriminatory harassment, on the basis of race, ethnicity, ancestry, color, religion, sex (including pregnancy), sexual orientation, gender identity, gender expression, national origin, age, disability, genetics, or veteran status in its programs, activities, employment, and admissions. This prohibition applies to faculty, staff, students, and all other members of the Georgia Tech community, including affiliates, invitees, and guests. Further, Georgia Tech prohibits citizenship status, immigration status, and national origin."
Software Engineer Student Intern - Summer 2024 - CIPHER,Georgia Tech Research Institute,"Atlanta, GA","GTRI’s Cybersecurity, Information Protection, and Hardware Evaluation Research (CIPHER) Lab is looking for student interns to start Summer 2024. Interns will work closely with researchers to produce high-quality software systems and tools to solve cybersecurity and/or intelligence analysis problems. These systems will work with very large datasets, require careful software design, and incorporate state-of-the-art machine learning techniques and other data analysis algorithms.


### **Required Minimum Qualifications**


**Intern**


* Pursuing a Bachelor’s degree in Computer Science, Information Security, or related field.
* 3.0 or higher cumulative GPA
* Experience with at least one of the following: Java, Python, C languages,
* Understanding of software development & design patterns and best practices
* Strong analytical and problem-solving skills
* Excellent written and verbal communication skills
* Must be registered for Full-time Internship Credit

### **Preferred Qualifications**


* Familiarity with software development tools and workflows, including source control (e.g., git)
* Experience with network analysis and/or security best practices and the network stack
* Understanding of cybersecurity issues and/or intelligence analysis
* Experience with Machine Learning tools and techniques
* Experience designing non-trivial software tools, systems, and frameworks
* Experience analyzing large datasets and adapting state-of-the-art algorithms/techniques

### **Hours per Week**



40 hours per week


### **U.S. Citizenship Requirements**



Due to our research contracts with the US federal government, candidates for this position are required to be US Citizens.


### **Clearance Type Required**



None


### **Housing and Relocation**



Housing and relocation assistance are not available for this position.


### **Equal Employment Opportunity**



The Georgia Institute of Technology (Georgia Tech) is an Equal Employment Opportunity Employer. The University is committed to maintaining a fair and respectful environment for all. To that end, and in accordance with federal and state law, Board of Regents policy, and University policy, Georgia Tech provides equal opportunity to all faculty, staff, students, and all other members of the Georgia Tech community, including applicants for admission and/or employment, contractors, volunteers, and participants in institutional programs, activities, or services. Georgia Tech complies with all applicable laws and regulations governing equal opportunity in the workplace and in educational activities.



Georgia Tech prohibits discrimination, including discriminatory harassment, on the basis of race, ethnicity, ancestry, color, religion, sex (including pregnancy), sexual orientation, gender identity, gender expression, national origin, age, disability, genetics, or veteran status in its programs, activities, employment, and admissions. This prohibition applies to faculty, staff, students, and all other members of the Georgia Tech community, including affiliates, invitees, and guests. Further, Georgia Tech prohibits citizenship status, immigration status, and national origin discrimination in hiring, firing, and recruitment, except where such restrictions are required in order to comply with law, regulation, executive order, or Attorney General directive, or where they are required by Federal, State, or local government contract.



All members of the USG community must adhere to the USG Statement of Core Values, which consists of Integrity, Excellence, Accountability, and Respect. These values shape and fundamentally support our University's work. Additionally, all faculty, staff, and administrators must also be aware of and comply with the Board of Regents and Georgia Institute of Technology's policies on Freedom of Expression and Academic Freedom. More information on these policies can be found here: Board of Regents Policy Manual | University System of Georgia (usg.edu)."
Intern (Security Analyst),Hitachi Energy,"Atlanta, GA","**General Information:**


At Hitachi Energy our purpose is advancing a sustainable energy future for all. We bring power to our homes, schools, hospitals and factories. Join us and work with fantastic people, while learning and developing yourself on projects that have a real impact to our communities and society. Bring your passion, bring your energy, and be part of a global team that appreciates a simple truth: Diversity + Collaboration = Great Innovation

**Your Responsibilities:**

* Work on the access control and credentialing team
* Lead minimum cyber security reviews of products.
* Validate DNS changes and run scripts to effect these changes if required.
* Assist in the migration of deployment of resources to Azure tenant.
* Assist with documenting processes and procedures.
* Living Hitachi Energy’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
**Your Background:*** Educational focus on computer science, computer engineering, information sciences, information technology, or engineering field with specialization in cyber security.
* Candidate must already have work authorization that would permit them to work for Hitachi Energy in the United States.
* Interest in gaining practical real-world experience as part of a SaaS team to include working knowledge of cloud computing technologies and workload transition challenges from a Cyber Security perspective.
* Creativity to find innovative and realistic solutions to complex challenges, and an eagerness to learn about new technologies and to devise tools or tricks to get the job done.
* Strong problem solving & troubleshooting skills with the ability to exercise mature judgment
* Excellent communication and technical writing skills (in English) to explain and document your ideas/plans and present them effectively to team members.
* Currently enrolled in an accredited university program in the US.

**Informazioni basilari**  

**Lieu** Atlanta, Georgia, United States of America
  

**Type d'emploi** Part time
  

**De l'expérience** Internship
  

**Fonction du poste** Intern
  

**Contrat** Intern (Fixed Term) (Trainee)
  

**Date de publication** 2024-01-29
  

**Numéro de réference** R0036561"
IT & Digital Intern - Summer 2024,WestRock,"Atlanta, GA","**IT & Digital Intern, Summer 202****4** **– Atlanta, GA** **Career Opportunity:**
WestRock, a publicly traded company with over $20 billion of revenue, is currently seeking IT & Digital Interns to participate in a 10 – 12-week summer internship based at our headquarters in Atlanta, GA. Interns will be placed in our IT & Digital organization that report under the Chief Information & Digital Officer. The internship includes exposure to our IT & Digital functional areas, engagement with leadership, mentorship, training, social events and a final companywide intern summit with a community project. Upon successful completion of the program, interns may be eligible for a full-time opportunity to include our two-year rotational Technology Leadership Program. **What you need to succeed:*** Pursuing a bachelor’s degree in IT, IS, CS, Systems Engineering, Industrial Engineering, Data Science, Math, Science, or Business
* Minimum 3.0 GPA preferred
* Strong interest in Corporate IT, Digital and leading others in a future career
* Relevant experience including internships, co-op assignments and leadership roles a plus
* Strong analytical ability and communication skills
* Experience with Microsoft O365 apps to include knowledge of Excel and PowerPoint
* Demonstrate leadership potential, networking skills, participate in social and team building events
* Willingness to work in Atlanta, GA
* Willingness to work in or travel to manufacturing / production environments
 **How you will** **impact** **WestRock:**
As an IT & Digital Intern, you will have the opportunity to work in one of many areas to include, but not limited to, Digital Innovation, Information Security, Development, User Experience, SAP and Operations Support and Extended Reality (XR). Responsibilities may include:* Work closely with the Information Technology teams to support research needs that may include vendor comparisons, detailed analysis, best practices benchmarking, and technology trend identification
* Participate in the research, analysis and implementation of key IT and Digital related projects and initiatives
* Drive the “art of the possible” by accelerating innovative ideas (discovery/prototype) and building digital acumen
* Prepare support documentation and program specifications
* Improve and develop processes and procedures, test programs
* Coordinate projects, analyze data and support reviews"
Homeland Security Intern - Paid,Georgia Emergency Management and Homeland Security Agency - GEMA/HS,"Atlanta, GA, USA",Homeland **Security** **Intern** Georgia Emergency Management and Homeland **Security** Agency (GEMA/HS) is ... Additional **Information** \* Agency Logo: \* Requisition ID: INT001K \* Number of Openings: 1 \* ...
