title,company,location,description
Cybersecurity Intern,Trapp Technology Inc,"Phoenix, AZ",
Network and Cybersecurity Analyst,DOXA Insurance Holdings LLC,"Scottsdale, AZ","Description: **Network and Cybersecurity Analyst**


DOXA Insurance, one of the fastest-growing niche underwriting and distribution companies in North America, is seeking an experienced network and security professional to operate and maintain enterprise networks and security systems, enforce security policies and procedures, manage the remediation of security vulnerabilities, investigate security events, and respond to security incidents. This individual will also assist in researching and implementing new network and security solutions. This position is hybrid or in-office at the AGIA (Scottsdale, AZ) office or DOXA Insurance Holdings office in Fort Wayne, IN.

**ESSENTIAL DUTIES:**

* Manage and support all enterprise network and communication systems, ensuring they are up-to-date, securely configured, and operating as intended.
* Manage and support all security solutions, ensuring they are up-to-date, securely configured, and operating as intended.
* Ensure data and metrics required to manage the network and support security operations are captured consistently using the organization’s standard logging and monitoring solutions.
* Monitor and review all network and security metrics to identify abnormal situations, including bandwidth spikes and unauthorized system access, ensuring identified anomalies are remediated and communicated.
* Conduct routine vulnerability scans and manage the overall remediation plan and reporting.
* Manage third-party service providers and cloud-based solutions focused on security and network management.
* Report key performance indicators including but not limited to:
* Network device availability metrics for planned and unplanned outages and degradations in service.
* Service levels.
* Lifecycle metrics, including patching, versioning, and replacement.
* Maintain comprehensive and up-to-date documentation of system configurations and support procedures.
* Perform other miscellaneous functions and special projects as assigned.

**TECHNOLOGIES AND SERVICES SUPPORTED:**

* Routers, Switches, Wi-Fi Access Points
* IDS/IPS and Firewalls
* Client and Site-to-Site VPNs
* DNS and DHCP
* Microsoft Active Directory
* Endpoint Detection and Response
* Email and Messaging Security (Malware, Phishing, Spam)
* Data Loss Prevention
* File and System Integrity Monitoring
* System Configuration Security/Hardening
* Forensic and Assurance
* Data Access Governance
* Privileged Access Management
* Password Management
* Data Governance
* Audit and Compliance
* eDiscovery

 **BENEFITS**


DOXA Insurance Holdings offers employees an excellent work environment with opportunities for growth. This position can be remote; we support in office, remote & hybrid work environments. Our compensation package includes vacation and sick compensation, health, dental, vision, life, and long-term and short-term disability insurance, and a matching 401(k) plan.


Requirements: **QUALIFICATIONS | SKILLS | EXPERIENCE**

**Education/Certification:**

* Bachelor’s degree in computer science, related technical/scientific field, or equivalent work experience.
* Net+, A+, and Security+ certifications are required.
* CCNA certification is highly desired.
* ITIL Foundation certification desired.
* MCSA, MCSE, or other Microsoft certifications are desired.

**Required Experience:**

* Minimum five years of professional IT network support and implementation experience.
* Minimum five years of professional IT security and vulnerability experience.

**Required Knowledge:**

* Hands-on experience with security platforms and implementations.
* Networking, routing, and switching protocols, security, and patch management.
* Network architecture and implementation.
* Microsoft Active Directory administration.
* Windows Server management.
* Management of virtualized systems.
* Management of vulnerability scanning systems.
* Device and operating system configuration management.
* Automated software deployment.
* Enterprise monitoring.
* Project management tools and processes.


 This position is hybrid or in-office at the AGIA (Scottsdale, AZ) office or DOXA Insurance Holdings office in Fort Wayne, IN."
IT Cybersecurity Analyst,Arcoro,"Scottsdale, AZ",
FT Security Compliance Administrator,Cochise College,"Sierra Vista, AZ",
CS335 Introduction to Cybersecurity,Park University Adjuncts,"Gilbert, AZ","Appointments are made on a term-by-term basis. Adjunct faculty are required to successfully complete an online Canvas LMS orientation course before being scheduled, as well as other training if required by the department. These are daytime face to face courses at our Gilbert campus. **Local applicants only.**
Click on Park University Locations for more information on our campus centers.
Click on Park University’s Catalog for more information on programs and courses.
**CS335 Introduction to Cybersecurity Minimum Qualifications:**
Masters or Ph.D. level degree in the discipline (CS or IS) or in a related discipline (MBA, etc.) from an accredited school AND Received graduate credit with a grade of B or better in the course applied to teach, OR one year work experience in subject material of course applied to teach OR  

a professional certification in Network or Computer Systems Security.
The Computer Science department prefers you address their Core Learning Outcome’s with your submitted course justification.
**CS335 Introduction to Cybersecurity Course Description:**
This course introduces students to various security concepts, issues, and countermeasures. The topics to be examined include, but are not limited to, cryptographic techniques and applications, attack and vulnerability identification, defenses and countermeasures, security tools and techniques, and ethical and legal issues. Several of these concepts may be put into practice using laboratory exercises."
Cyber Security Engineer,Consumer Cellular,"Scottsdale, AZ","Cyber Security Engineer (240076)**Job Summary**



As a Cyber Security Engineer, you will play a crucial role in our cybersecurity team, focusing on safeguarding our internal and external systems. Your expertise in various areas of cybersecurity will help us maintain and enhance our security posture. You will be responsible for implementing, managing, and improving security solutions that protect our infrastructure and data, ensuring compliance with industry standards and best practices.


**Duties and Responsibilities**


* Design, implement, and manage security measures for the protection of computer systems, networks, and information.
* Identify and define system security requirements and recommend solutions to improve security.
* Configure and troubleshoot security infrastructure devices, including SSO/Federation services (Azure AD, Okta, Ping, etc.).
* Develop and implement API authorization mechanisms, including OAuth2, shared key, dynamic secrets, key management, and certificates.
* Ensure AD security through OU delegation, object-level security, domain security, group/role security, and management of authentication protocols such as Kerberos and NTLM.
* Conduct User Access Reviews, analyzing entitlements, roles, permission sets, and identity correlation to prevent unauthorized access.
* Manage the identity lifecycle, overseeing joiner, mover, and leaver processes across various identity platforms.
* Implement and manage privileged access management solutions, including session management, secrets vaulting, and Just-in-Time access.
* Oversee PKI security, including Certificate Authority management and TLS 1.2+ implementation.
* Utilize PowerShell scripting for discovery and governance processes.
* Develop and implement MFA strategies, including scoping conditional access and intelligent prompting.
* Design and enforce an effective RBAC program with automated controls, understanding both business and technical roles.
* Ensure segregation of duties, manage toxic combinations, and uphold the principle of least privilege, especially in DevOps environments.


*The above statements are intended to describe the general nature and level of work performed and not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel assigned to this job. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.*

 **Qualifications**


* Bachelor's degree in Computer Science, Information Security, or related field.
* 3-5 years of experience in cybersecurity, with expertise in at least three of the listed areas.
* Strong understanding of network security, protocols, and encryption technologies.
* Proficient in scripting languages, particularly PowerShell.
* Experience with cloud security principles and technologies.
* Excellent problem-solving skills and the ability to work under pressure.
* Strong communication and teamwork skills.


*The physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.*



#TECH2024


Primary Location: United States-Arizona-Scottsdale
Job: Information Technology
Schedule: Full-time
Travel: Yes, 5 % of the Time
Job Posting: Mar 8, 2024
Unposting Date: Mar 29, 2024"
Cybersecurity Specialist,Risk Mitigation Consulting,"Yuma, AZ",
Cybersecurity Engineering Intern,"General Dynamics Mission Systems, Inc","Scottsdale, AZ","Basic Qualifications :

Candidates should demonstrate a thorough understanding of engineering technology. Engineering Interns must be enrolled in an accredited degree program in Computer Engineering, Systems Engineering, Software Engineering, Electrical Engineering, Mechanical Engineering or other related scientific or technical discipline with a preference for a standing of a sophomore or higher. **CLEARANCE REQUIREMENTS:**  

Ability to obtain a Department of Defense Secret security clearance is required at time of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
**REPRESENTATIVE DUTIES AND TASKS:**
Apply your classroom-learned skills to a program supporting the defense of our country. GDMS has an immediate opening for an Cybersecurity Engineering Intern to join our team. The position provides an opportunity to work on projects that support some of our nation’s fundamental defense services. GDMS employees work closely with esteemed customers to develop solutions that allow them to carry out high-stakes national security missions.  

The selected candidate will work with collaborative teams on various technical projects associated with our core mission. In addition to receiving a competitive wage, the Cybersecurity Engineering Intern will enhance their skill set by working among a talented and technically accomplished group of colleagues. Interns will also enjoy a flexible work environment where contributions are recognized and rewarded.  

#LI-Hybrid
Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. This job posting will remain open until the position is filled. Combined Salary Range: USD $0.00 - USD $0.00 /Yr. Company Overview:

At General Dynamics Mission Systems, we rise to the challenge each day to ensure the safety of those that lead, serve, and protect the world we live in. We do this by making the world’s most advanced defense platforms even smarter. Our engineers redefine what’s possible and our manufacturing team brings it to life, building the brains behind the brawn on submarines, ships, combat vehicles, aircraft, satellites, and other advanced systems.  

We pride ourselves in being a great place to work with this shared sense of purpose, committed to a diverse and exciting employee experience that drives innovation and creates a community where all feel welcome and a part of something amazing.  

We offer highly competitive benefits and a flexible work environment where contributions are recognized and rewarded. To see more about our benefits, visit https://gdmissionsystems.com/careers/why-work-for-us/benefits  

General Dynamics is an Equal Opportunity/Affirmative Action Employer that is committed to hiring a diverse and talented workforce. EOE/Disability/Veteran"
"Identity, Access, and API Management Intern",Blue Yonder,"Scottsdale, AZ",
CYBER SECURITY INTERN,State of Arizona,"Phoenix, AZ","DEPARTMENT OF HOMELAND SECURITY


Cyber Security Intern


**\*\*\*\*****U.S. Citizenship Required\*\*\*\***


**Job Location:**


1700 West Washington, Suite 210  

  

Phoenix, Arizona 85007


**Posting Details:**


Hourly Pay Rate: $16.50  



Grade: 01  



Closing Date: Open until filled


**Job Summary:**


The Arizona Department of Homeland Security - Cyber Command is recruiting for several Cyber Security Interns.



This would be a prime opportunity for those interested in pursuing a career in Cybersecurity to gain invaluable hands-on experience in the field within a large public sector environment. The Cyber Security Interns will apply critical thinking skills in a cyber environment and learn how to look for threats and risks and apply mitigation techniques.


The Cyber Security Intern will learn how to effectively evaluate supply chain compliance against industry risk management best practices for cyber security.


Work within a team to apply a NIST based policy and standards framework across a large group of diverse State Agencies.


**Job Duties:**


* Develop skills and learn procedures to effectively identify, detect, contain, eradicate, recover, and document cyber incidents in an enterprise environment to effectively defend against cyber threats
* Work with a team of people with a cyber security focus, provide regular executive level updates, and contribute to team success with ongoing tracking and implementation of projects
* Work on Security Compliance assessments to include reviewing vendor compliance against required minimum security standards
* Learn about malware and cyber threat hunting, security analytic tool best practices, vulnerability scanning and reporting
* Will also learn how to perform risk assessments against policies and standards to document risk and threats
* Learn how policies and standards are implemented within a public sector enterprise
* Utilize a vast array of security tools and resources to locate cyber threats
* Attend meetings and offer input and suggestions when appropriate
**Knowledge, Skills & Abilities (KSAs):**


* Solid understanding and knowledge of commonly used concepts, practices and procedures within the Information Technology and Computer Science Field
* Detail orientated, critical thinking, fast-paced work experience in a technical setting
* Ability to communicate well with others, to perform work in a team environment
* Demonstrate a growth mindset and exhibit a collaborative work style


**Candidates must be enrolled in an accredited 4-year College or University with a focus in Computer Information Science, Computer Information Security or related and must successfully pass a Department of Public Safety fingerprint background check.**  

  



**Selective Preference(s):**


* Completion of Introduction to Computer Science or similar, OR Information Security Essentials or similar, OR Introduction to Information Technology or similar, OR Introduction to Computer Network Security or similar. Familiarity with Computer Scripting Languages is a plus
**Contact Us:**


* If you have any questions please feel free to contact Ariel Gonzalez at agonzalez@az.gov for assistance"
