title,company,location,description
Financial Analyst II,Milwaukee Electric Tool Corporation,"Menomonee Falls, WI",
ANALYST III - DATA SUPPORT - FISCAL,Milwaukee Public Schools,"Milwaukee, WI",
FP&A Clerk/Coord,CBRE,"Milwaukee, WI",
Financial Analyst,Milwaukee Electric Tool Corporation,"Menomonee Falls, WI",
Financial Analyst,Charter Manufacturing,"Milwaukee, WI",
Financial Analyst,DreamPak,"New Berlin, WI",
Financial Analyst,"Badger Solutions, LLC","Sturtevant, WI",
Financial Analyst – FP&A,Zurn Elkay Water Solutions,"Milwaukee, WI",
Financial Analyst,Penfield Children's Center,"Milwaukee, WI",
Financial Analyst,Molson Coors,"Milwaukee, WI",
Sr Financial Analyst,Thermo Fisher Scientific,"Milwaukee, WI",
Financial Analyst,Molson Coors,"Milwaukee, WI",
Finance Analyst Grants,Children's Wisconsin,"West Allis, WI",
FP&A Analyst II,Regal Rexnord,"Milwaukee, WI",
Corporate Financial Analyst,CentroMotion,"Waukesha, WI",
FP&A Analyst - Virtual/Remote,Enumerate,"Milwaukee, WI, USA","Enumerate needs a **Financial Planning & Analysis Analyst** for our rapidly growing team!Enumerate has grown rapidly through acquisitions and is backed by a leading Boston-based private equity firm. We expect to continue with strategic acquisitions while diversifying our product offerings to include payments-related services for its core HOA customer base.  
  
In this role, you’ll be responsible for budgeting and forecasting as well as the development and delivery of actionable and insightful analyses of both retrospective trends (actual v. planned) and prospective opportunities. Our growth objectives make it critical that we establish reporting, budgeting, and forecasting and analytical models and processes that will enable the company to scale. You will have a leading role in identifying, implementing, and improving upon these core requirements.  
  
You will work closely with multiple teams across the company, providing leaders with an understanding of key performance drivers and how business decisions impact the company’s financial prospects. This role reports to the CFO and will partner closely with the accounting team. Salary range is $75-85k, depending on experience. This position is remote eligible, with a preference for candidates in CST/EST. **Who will love this job**  
* Someone who is a critical thinker with a meticulous approach, high initiative, and the ability to explain financial concepts in “plain English” to non-financial stakeholders

**You should have*** Required: 2+ years of experience in financial analysis, either within a corporate Finance, FP&A function, or within investment banking, commercial banking, or private equity.
* Required: Bachelors in Accounting, Finance, Economics, or other highly quantitative discipline.
* Required: Experience with SaaS (or subscription) revenue recognition, including familiarity with standard SaaS metrics/ KPIs.
* Fluency in O365- especially Excel, PowerPoint, and SharePoint.
* Strong financial modeling skills in Excel including a working knowledge of 3 statement models.
* Ability to both identify and communicate high level concepts and observations while also being able to roll up your sleeves and dive into the details.
* Patience, tact, and a good sense of humor - ability to work effectively and amicably with remote teams across the organization
* Authorized to work in the US without sponsorship.
* Travel of 5% expected for quarterly team meetings.
* Ability to work in the US without sponsorship.
  
**Culture**  
**Why Enumerate**  
  
Our team is changing the face of the HOA Property Technology space as a trusted industry leader for over 30 years. Today, our products enable over 1,500 of the highest-caliber property management companies in the world to grow and protect their organizations. We are a five-time winner of FLCAJ’s Readers Choice Awards for our solutions and support.  
  
Our approach to work is proactive, collaborative, and committed and our team of 140+ are truly passionate about creating a best-run company internally just as we create best-run Property Management Companies for our customers. Learn about our Core Values here.  
  
We offer a full slate of benefits, including competitive salaries, medical (including a $0 option for employees), dental, vision, life and disability coverage, paid vacation, paid holidays, tuition reimbursement, $1,000 employee referral program and a 401(k) plan. When possible, we also like to offer fun in-person perks like pet-friendly offices, paid food trucks and company outings."
Financial Analyst - Manufacturing,JellTech Consulting,"Waukesha, WI, USA","**We are seeking a Financial Analyst II to join a major manufacturing company in Milwaukee on a hybrid basis for a long term contact.** 

**Hybrid. Bachelors Degree Required**

SAP Preferred.

Pay: $35.00-42.00/HR

**Description:**

This position provides financial guidance, direction, and analytical support for appropriate functional areas and all corresponding departments within the plant, business unit or corporate group. It will coordinate the development of revenue, cost of sales, expense, capital and headcount, budgets and forecasts for assigned area. This position provides comprehensive financial support for assigned departments including, but not limited to monthly performance reports, financial analysis, revenue, margin and expense variance review, and recommendations for corrective actions when needed. Participate on special projects as required."
Financial Analyst,"Charter Manufacturing Company, Inc.","Milwaukee, WI, USA","Compile, **analyze** and review **financial** reports. Participate in month end activities, account reconciliations, cost **analysis**, forecasting and budgeting. Provide additional accounting process, system ..."
Domo Data Analyst (REMOTE),Everlight Solar,"Milwaukee, WI, USA","Everlight Solar is seeking a skilled Data Analyst who will design and maintain functional programs and applications, producing fully functional software applications according to requirements. As a Data Analyst, you play a key role in serving our clients and team members. This will be a full-time, work-from-home ""remote"" position.

**This is a role for Apple power-users, must know iWork and be skilled with iOS and macOS.**

Everlight Solar is a rapidly growing company and the leader of solar energy in the Midwest. We offer a unique experience that fosters individual growth and rewards performance. Our culture at Everlight is extremely important to us. The work environment is fast-paced and dynamic. We value teamwork, quality, innovation, and customer success. Our ideal candidate is self-motivated, detail-oriented, has excellent problem-solving abilities, is passionate about delivering results on-time, exceeding expectations, and ensuring success for our teams.

**Responsibilities:**

* Work with large amounts of data to draw meaningful conclusions
* Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality
* Provide regular reporting and analysis to team
* Develop and maintain dashboards and reports to track key metrics and performance indicators
* Collaborate with cross-functional teams to identify areas for improvement and to develop solutions to enhance business operations
* Provide training and support to team members on data analysis techniques and tools

**Requirements:**

* Minimum two years of experience with DOMO
* MajorDOMO Certification Required
* 3+ years experience in data analysis, reporting, business intelligence or financial analysis and a Bachelor's Degree in Business, Statistics, Mathematics, Analytics, Computer Sciences or related field or equivalent experience
* 2 years experience in providing people analytics reporting to organizations
* Demonstrated experience using SQL, and DOMO
* Experience with sensitive and confidential people data in a global environment
* Analyze, evaluate, improve, and document processes and workflows. Identify and take advantage of opportunities for process automation and simplification.
* Proven ability to design and implement new processes and facilitate user adoption.
* Strong understanding of Salesforce.com best practices and functionality
* Strong data management abilities
* A documented history of successfully driving projects to completion
* A demonstrated ability to understand and articulate complex requirements
* Excellent project management skills and a positive attitude
* Must demonstrate exceptional verbal and written communication skills
* Must demonstrate ability to communicate effectively at all levels of the organization
* Must own a Mac computer and be fluent with the Apple ecosystem of software (iOS, macOS, iWork, etc.)

**Benefits:**  


* Health Insurance
* Dental Insurance
* Vision Insurance
* Life Insurance
* PTO
* Sick and Safe Time
* Paid Holidays Off

**Salary: $65,000-$100,000/ year**

*Everlight Solar is proudly an Equal Opportunity Employer. We value diversity of all types and are excited to work with talented individuals from a wide range of backgrounds. Everlight is committed to inclusion and we invite people of any race, creed, color, national origin, ancestry, marital status, sexual orientation, gender identity or expression, disability, nationality or sex, age groups (18+), and levels of education to apply. Authorized to work in the US and background check required.*"
Financial Analyst,DreamPak,"New Berlin, WI, USA",**Financial** **Analyst** reporting Structure: Director of **Finance** POSITION SUMMARY: The **Financial** **Analyst** will report to the Director of **Finance** and perform a variety of support tasks for the Accounting ...
