site,job_url,job_url_direct,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,emails,description,company_url,company_url_direct,company_addresses,company_industry,company_num_employees,company_revenue,company_description,logo_photo_url,banner_photo_url,ceo_name,ceo_photo_url
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009207096304,,Data Analyst I,Massachusetts General Hospital(MGH),"Charlestown, MA",,2024-03-27,yearly,52091.0,72751.0,USD,False,,"**Data Analyst I**


 - (3283396) **GENERAL SUMMARY/ OVERVIEW STATEMENT:**  

The Data & Informatics team at Massachusetts General Hospital is seeking a full-time Data Analyst for a functional multi-omics subgroup led by Rachel Buckley, PhD. We are a large multidisciplinary clinical Alzheimer’s disease research group spread across Mass General Brigham, focusing on early detection and prevention strategies of Alzheimer’s disease and related neurocognitive disorders. Our group runs multiple longitudinal cohort studies (e.g., Harvard Aging Brain Study) with rich neuroimaging, plasma biomarker, and neurocognitive phenotypes. We also work closely with secondary data from other studies across the United States. The successful candidate will help to establish and maintain genomic and transcriptomic data quality control pipelines, both single-cell and bulk tissue (brain and plasma), and will participate as a co-author in various scientific projects linking multi-omics data with neuroimaging and clinical phenotypes related to Alzheimer’s disease progression. As a data analyst in a functional genomics subgroup, the successful candidate will have opportunites for presentations/publications if desired. The successful candidate will also have access to the communities and meetings of the Broad Institute of MIT and Harvard, a leading genomics institution. Although the primary responsibility of this position will be to genomic/transcriptomic data management and analysis, the successful candidate will also work closely with the Harvard Aging Brain Study Data & Informatics team, to facilitate harmonized omics and phenotype data management. We see the skills that will be developed in this job as allowing the future candidate to successfully progress towards PhD programs or industry in relevant fields (e.g. computational biology, neuroscience, applied statistics).

  


**PRINCIPAL DUTIES AND RESPONSIBILITIES:**  

1) Establishment, maintenance, update, and documentation of omics data processing (quality control) pipelines for ongoing multi-omic data generation projects.



2) Working with investigators to coordinate relevant data generation/acquisition/transfer procedures.



3) Rapid assembly and manipulation of omics and phenotype datasets for analysis.



4) Implementation of bioinformatics analysis plans to produce results for publication and conference dissemination for other lab personnel.



5) Researching, assessing, and implementing novel bioinformatics models and approaches.



6) Working with investigators to develop and implement data analytics and visualizations in service of research aims.



7) Provide consultation and drafting of omics-related methods and results sections for manuscripts in collaboration with researchers.

 **SKILLS/ABILITIES/COMPETENCIES REQUIRED:**

* Advanced computer skills, with the ability to manipulate large and varied datasets. (e.g., proficiency with Python and/or Unix shell scripting preferred).
* Proficiency with R.
* Prior experience in computational biology/bioinformatics (e.g., PLINK, RNA-Seq alignment tools, R Bioconductor, etc.) is strongly preferred, but not necessary if the applicant has the necessary programming experience.
* Experience with cluster computing is strongly preferred, but not essential.
* Demonstrable statistical and data analysis skills.
* Must be highly motivated and well-organized, personable, and empathetic with team members.
* Level of responsibility and maturity to work under pressure and meet the requirements of clinical research neuroscience laboratory.
* Very detail-oriented and highly organized.
* Ability to work independently and as part of a team.

  


**EDUCATION:**

B.A., B.S. required. Master's level candidates are preferred, particularly with training in the fields of computational biology, bioinformatics, computer science, biostatistics, applied mathematics or statistics. Individuals without formal training in these areas, but with the requisite experience and desired core skills will also be considered.



**EXPERIENCE:**

1+ years of experience is preferred. Experience through coursework or undergraduate/graduate research projects is applicable.

  

**EEO Statement**  



Massachusetts General Hospital is an Affirmative Action Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. All qualified applicants will receive consideration for employment without regard to race, color, religious creed, national origin, sex, age, gender identity, disability, sexual orientation, military service, genetic information, and/or other status protected under law. We will ensure that all individuals with a disability are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment.

  




**Primary Location** MA-Charlestown-MGH 13th Street**Work Locations** MGH 13th Street 149 13th Street Charlestown 02129**Job** Data/Analytics**Organization** Massachusetts General Hospital(MGH)**Schedule** Full-time**Standard Hours** 40**Shift** Day Job**Employee Status** Regular**Recruiting Department** MGH Neurology Research**Job Posting** Mar 27, 2024",https://www.glassdoor.com/Overview/W-EI_IE20189.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009206471315,,Digital Media Data Analyst,Gupta Media,"Boston, MA",,2024-03-27,yearly,77853.0,132585.0,USD,False,,"Gupta Media was founded 20 years ago on the idea that advertising could create huge leverage in our client's business. Our early work was focused on the entertainment industry, specifically live events (Boston Calling, among others) and recorded music (Sony Music, Universal Music & Disney are all clients). We have dramatically grown our work with big brands (Amazon, Fender) and sports brands (LA Galaxy, Washington Commanders). We have a global client base with a growing local roster across B2B and B2C brands across campaign, content and branding assignments.

  

We are on the hunt for a talented Data Analyst to join our Strategy & Analytics team to assist with reporting, tracking, data analysis, advertising strategy, and visualization needs. In this role, you will work internally to assist paid media analysts with reporting requests as well as externally to provide clients with insights regarding their advertising campaigns.

  

If you are excited by the opportunity to improve reporting for our clients and our analysts, are able to communicate effectively to understand what tools will help solve a problem, and then work collaboratively to design a solution that’s scalable, accurate and easy-to-use, we want to talk to you.

 **Who You Are:**


* You have an absolute love for data. You have no problem tearing apart a problem, and living inside a spreadsheet/data set to find the answer to any question.
* Because you love data, you have advanced knowledge of SQL, Excel, Google Data Studio/Data Visualization and enjoy working with SQL on a day-to-day basis. Experience with Marketing APIs, Big Query or other Cloud Data Warehouse tools (AWS, Snowflake, Databricks, etc.), ETL Tools (Rivery, Looker, Supermetrics) and/or Python are all pluses.
* You have a bachelor’s degree in a relevant field and have spent a minimum of 1 year working with marketing data and/or paid advertising campaigns, preferably in a fast-paced agency environment or team structure.

  


**What You’ll Do:**


* Reporting: With your expertise in Advanced Excel, SQL,Google Data Studio/Visualization Tools, you’ll be maintaining customized dashboards in Google Sheets and Excel on a daily/weekly cadence, generating pivot tables and other visualizations that summarize thousands of lines of data. You should have experience in translating performance media metrics into coherent, digestible reports for client ad campaigns and be comfortable communicating via Google Slides or PowerPoint decks.
* Strategy: You’ll be responsible for learning our clients’ businesses and aligning their media strategy with business goals as well as understanding advertising trends within a single project and across multiple projects to help guide media buying strategy. With a background in paid media and/or digital advertising, you understand concepts like LTV, ROAS and Incremental Revenue and are able to be engaged in discussions with clients to gain trust and shareholder buy-in on media strategy and results.

  



At Gupta Media, we work hard every day to be better at all that we do — and that includes fostering a diverse and inclusive community that encourages and respects a broad range of backgrounds, experiences and ideas. Join us and help us find the next great idea.

  

Gupta Media is an office-first (with flexibility) organization and we are excited to have our team working together again",https://www.glassdoor.com/Overview/W-EI_IE767591.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009205851380,,Principal Data Analyst,Pegasystems,"Waltham, MA",,2024-03-27,yearly,120255.0,159737.0,USD,False,,,https://www.glassdoor.com/Overview/W-EI_IE5936.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009205556587,,Strategic Data Analyst,"Buyers Edge Platform, LLC","Waltham, MA",,2024-03-26,yearly,59214.0,96166.0,USD,False,,,https://www.glassdoor.com/Overview/W-EI_IE2940257.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009203945832,,R&D Data Analyst,Zolt Data Solutions,"Cambridge, MA",,2024-03-25,hourly,50.0,55.0,USD,False,,"**\*\*\*Due to Client restrictions, Candidates with only a Greencard or a US Citizenship are considered\*\*\***

**Main responsibilities:**

· Engage in data management and analytics projects; understand, advise, and execute on data flow optimization and visualization (e.g., data capture, integration, business analytics dashboards and use across R&D)

· Lead development, validation, publishing, and maintenance of logical and physical data models and dashboards

· Understand business requirements and translate to data definitions, integrations, and UI views.

· Serve as point of contact for data integration topics within solutions (e.g., technology), from source systems to data consumers; define process, tools, and testing requirements

· Maintain modelling and naming standards, and data harmonization, metadata management, and source-to-target data mapping documentation

· Evaluate and influence projects while serving as “voice-of-business”; map systems/interfaces for data management, set standards for future state, and close gap from current-to-future state

· Serve as technical and data consultant for R&D initiatives with major platforms/technology implementations

· Maintain documentation and act as an expert on data definitions, data standards, data flows, legacy data structures / hierarchies, common data models, data harmonization etc. for R&D functions

3. About you

· **Experience**: 5+ years of relevant experience

· **Technical skills**:

* Knowledge of consulting or pharma and familiarity with data management practices
* Extensive Analytics, modelling experience with standard tools
* Strong knowledge of data management (e.g., data lake, data virtualization, hubs etc) and modelling is required.
* Experience in predictive and prescriptive analytics, SQL, POWERBI / Tableau.
* Experience with SDLC and agile implementation of projects and platforms; experience with requirements gathering, system design, and validation/quality/compliance requirements.
* Experience managing technology and/or data warehouse projects
* Familiarity with relationship databases and entity-relationship data modelling
* Experience with hierarchical data models from conceptualization to database optimization
* Knowledge of data governance and harmonization is required (e.g., metadata management, master data management, data quality, data stewardship, data protection etc)

· **Functional skills:**

* Ability to lead projects to create and deliver simple, elegant solutions to complex business problems
* Ability to collaborate and build strong partnerships across R&D, Digital, and Data teams
* Strong understanding of analytics tools and problem-solving skills
* Project management experience working in a complex and matrix environment
* Excellent written and oral communications skills (data story telling)
* Demonstrated strong attention to detail, quality, time management and customer focus
* Ability to successfully execute in a fast-paced environment and in managing multiple priorities effectively
* Aware of industry trends and priorities and can apply to governance and policies
* Demonstrated experience in change management by utilizing internal and external benchmarking and surveys.

· **Education**: Master’s in Computer Science, Engineering, Mathematics, Statistics, or related

· **Languages**: English

**\*\*\*Only Apply if you have a Greencard or a US Citizen\*\*\***

Job Type: Contract

Pay: $50.00 - $55.00 per hour

Expected hours: 40 per week

Experience level:

* 5 years

Schedule:

* 8 hour shift

Ability to Relocate:

* Cambridge, MA 02141: Relocate before starting work (Required)

Work Location: Hybrid remote in Cambridge, MA 02141",,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009193330500,,Data Analyst I,"Yardi Systems, Inc.","Waltham, MA",,2024-03-19,yearly,58621.0,81079.0,USD,False,,,https://www.glassdoor.com/Overview/W-EI_IE31057.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009194889109,,Healthcare Business Analyst,Long Finch Technology,"Cambridge, MA",,2024-03-19,hourly,50.0,55.0,USD,False,,,https://www.glassdoor.com/Overview/W-EI_IE3188782.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009192636710,,Data and Applications Analyst (FT),Archdiocese of Boston,"Braintree, MA",,2024-03-18,yearly,51811.0,79147.0,USD,False,_staffing@rcab.org,"The Data and Applications Analyst reports to the Director of Data Administration and Analysis to provide research- and data-related support to ensure the efficient operation of the Catholic Schools Office. He or she will also work very closely with all members of the Catholic School Office to meet stringent deadlines and help reduce the workload of the team. The Data and Applications Analyst will use multiple cloud- based platforms to generate reports on student achievement, enrollment, demographics, and finances for members of the CSO, its schools, and stakeholders.  

  

**ESSENTIAL DUTIES AND RESPONSIBILITIES:**


+ Administer technical aspects of all applications used by the CSO and its constituent schools.
+ Data cleaning and preparation: Administer surveys, collect, clean, and prepare data from the broader CSO community, i.e. school leaders, staff, parents, etc. Create and prepare reports and
+ presentations from the survey and data collection efforts.
+ Effectively collect, analyze, interpret, and visualize data for strategic and operational purposes. Using this data, create reports and presentations about individual schools and our schools in the aggregate.
+ Respond to data inquiries and research requests from CSO staff and external partners and those regarding confidential and sensitive matters; demonstrate discretion and exercise a high level of professionalism and follow through.
+ Generate reports on tuition and fee income from on-line tuition management system and reconcile to recorded balances.
+ Maintain electronic document filing system and follow Archdiocese of Boston privacy and data security policies.
+ Work with others to gather enrollment, retention, and financial data from schools and analyze the data to assist with recommendations for best practices.
+ Assemble and refine financial dashboards for elementary schools and review audited financial statements of separately-incorporated schools to evaluate operational sustainability.
+ Use analytical skills to detect patterns, interpret data, integrate new information, to assist members of the CSO in making decisions based on the multiple factors and options available.


**QUALIFICATIONS:**


+ Bachelor’s degree in related field with several years experience.
+ Interest in and passion for data analysis and visualization.
+ Ability and willingness to learn new applications and become the in-house expert.
+ Proficient in Excel, Qualtrix or similar programs. Prior experience with Azure, Intacct, and FACTS Student Information System a plus.
+ Possesses critical thinking, problem solving skills, and ability to communication findings, both written and oral, to non-technical stakeholders.
+ Excellent relationship-building skills with a focus on service to others.
+ Demonstrates a clear understanding of and commitment to the Catholic traditions of education, social justice, and service to others.

  

  

The duties and requirements described above are representative of those encountered during performance of the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions. Candidates must undergo background checks before hire and complete required training.  

  

To apply, please email a cover letter and resume to hr\_staffing@rcab.org",https://www.glassdoor.com/Overview/W-EI_IE403420.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009192997081,,Entry Level Business Analyst,Atlantictranstrading,"Boston, MA",,2024-03-18,yearly,65000.0,75000.0,USD,False,,"**Atlantictranstrading** is hiring for Entry Level Business Analysts. A business Analyst will be responsible for gathering and defining requirements and creating functional designs for web-based applications and systems.  
**Responsibilities:**

* This Business Analyst must be eager, attentive to client needs, a problem solver, and detail oriented
* Analyze operational and technical information to identify and develop recommendations for improvements in IT systems and applications.
* Collaborating with Product Owner to develop and maintain Product Backlogs
* Collaborate with business users to ensure all project requests meet the specifications, recommending changes to specifications as necessary.
* Implement advanced strategies for gathering, reviewing and analyzing requirements.
* Assist with the prioritization of requirements and creating future state design.

**Qualification:**

* Bachelor’s or Master's degree
* Responsible, dependable, quick learner
* Demonstrated ability to adapt to new technology
* Strong analytical, problem solving and conflict resolution skills.

Job Type: Full-time

Pay: $65,000.00 - $75,000.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Schedule:

* Day shift
* Monday to Friday

Work Location: In person",https://www.glassdoor.com/Overview/W-EI_IE2436726.htm,,,,,,,,,,
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009181651768,,Associate Data Analyst,Candex,"Boston, MA",,2024-03-12,yearly,60004.0,87568.0,USD,False,,"**About**
---------



Candex is a rapidly growing private global B2B fintech company on a mission to reshape the way businesses transact. Our tech-based solution makes purchasing fast and easy for enterprise buyers. Recognized in the ProcureTech 100 for Procurement Innovation, our SaaS Platform and accompanying services completely transform the buying experience for large companies around the globe. Buyers enjoy the simplicity of Candex for their purchases, vendors get paid faster, and procurement teams love the increased control they gain over purchases — Everyone wins!



We serve companies in the Global 2,000 and our existing clients include some of the world’s biggest corporations. We’ve raised over $85M from leading investors including Goldman Sachs, JP Morgan, American Express, Altos, Craft, and NFX. Available in almost 50 countries, Candex is expanding our already robust footprint and is looking for ambitious, fun people to join us on our mission to revolutionize the way businesses engage and pay their suppliers.


**Position Overview**



The Associate Data Analyst is responsible for supporting the Data Analytics team in the development and maintenance of data models, ETL processes, and reporting solutions. They will also be responsible for conducting data analysis to support business decisions and improve operational efficiency.



This role will be based out of our Boston office location, working a hybrid work week between in office and remote.


**Responsibilities:**


* Develop and maintain data models and ETL processes
* Conduct data analysis to identify trends, patterns, and relationships
* Communicate data findings to business stakeholders
* Collect and clean data from a variety of sources
* Stay up-to-date on the latest data analysis techniques and technologies
* Develop, maintain, and automate recurring and ad hoc reports for a multitude of audiences across all regions, and management to support business needs and underwriting results
* Utilize various Business Intelligence (BI) tools to develop, support, and enhance reports to meet and anticipate stakeholders changing needs in a data-driven environment
* Utilize SQL to identify, extract, interpret, and analyze data for reporting
* Provide technical support to using the combination of tools needed to best complete each task, including but not limited to SQL, Tableau, and Excel.
* Perform data validations and reconciliations between various sources and reports with precision and attention to detail to ensure deliverables are accurate and effective
* Support and enhance the central proprietary database by identifying and integrating data elements necessary to support reporting initiatives


**Qualifications:**


* Bachelor's degree in a related field (e.g., statistics, mathematics, computer science)
* Experience in finance is preferred
* 2 years of experience in data analysis
* Proficiency in SQL, Tableau, and/or other data analysis tools
* Intellectual curiosity and a passion for analyzing large volumes of data to generate insights
* Solid oral and written communication skills
* Strong interpersonal skills and the ability to work both independently and with a team
* Effective time management, with the ability to execute and prioritize multiple projects at the same time


**Why Work With Us**


* We are humble, hungry, intelligent and collaborative
* Unlimited PTO and a flexible working environment
* We offer comprehensive medical, dental, and vision, Flexible Spending Account, Health Savings Account (with an employer contribution)
* We also provide LIfe Insurance, STD and LTD
* Wellbeing benefits through Employee Assistance Program, Spring Health and OneMedical
* 401(K)
* Home Office Setup
* Team-building off sites and outings

**Equal Opportunity Employer**
------------------------------



Studies indicate that individuals from marginalized backgrounds, including women, often choose to apply for positions only when they fulfill all listed requirements. However, if you find that this role resonates with you even though you don't match every criterion, we strongly encourage you to get in touch with us. Our commitment to being an equal opportunity employer drives us to cultivate a workplace that celebrates diversity and inclusivity, embracing individuals from various backgrounds. Our hiring process prioritizes skills and abilities, and our wide-reaching outlook is something we take great pride in. Feel free to reach out!",https://www.glassdoor.com/Overview/W-EI_IE2384046.htm,,,,,,,,,,
