title,company,location,description
Sr. Financial Analyst- G&A,FIS Global,"Jacksonville, FL",
Financial Analyst,VTrips,"Jacksonville, FL",
FP & A Lead Analyst,Citi,"Jacksonville, FL",
Financial Analyst,Copyright Clearance Center,"Jacksonville, FL",
Financial/Budget Analyst,Alivia Care,"Jacksonville, FL",
ISO - Risk Analyst – IT I,Fidelity National Financial,"Jacksonville, FL",
Risk Analyst – IT II,Fidelity National Financial,"Jacksonville, FL",
Regional FP&A Operations Controller,GFL Environmental Inc.,"Jacksonville, FL",
Lead Financial Analyst,WestRock,"Jacksonville, FL",
Finance Analyst II - Remote,Mayo Clinic,"Jacksonville, FL",
Financial Planning & Business Growth Strategy Analyst (Onsite),Moran Environmental Recovery,"Atlantic Beach, FL",
Junior Financial Analyst,Mirador,"Jacksonville, FL",
Financial Reporting Analyst,Mirador,"Jacksonville, FL",
Finance Analyst III,Mayo Clinic,"Jacksonville, FL",
SUPERVISORY FINANCIAL MANAGEMENT ANALYST,US Bureau of Naval Personnel,"Jacksonville, FL",
Lead Financial Analyst,Ascension,"Jacksonville, FL, USA","Perform **analysis** and reporting regarding **financial** operations and information. \* Perform statistical, cost and **financial** **analysis** of data extracted from various internal sources. \* Assist with budget ..."
Financial Analyst  Level I,Adecco,"Jacksonville, FL, USA","**Adecco**  is currently assisting a local financial client in their search for a  **Financial Analyst 1**  in  **Jacksonville, FL.**  The position is 6+ months long with opportunity for extension and offers a starting pay rate of  **$27.50/hr. plus overtime**  .  **This position is Onsite**   **M-F, 8a-5p.**   
 **POSITION SUMMARY**  :   
 This position is responsible for the post check activities for a large-scale client remediation. Position requires data validation, branch office communications, project status updates to management regarding former client payments.   
 The duties of this particular role include but are not limited to: Checks being returned and will require manual research and remailing to former clients. Checks will be stale dated with ledger impact and aged breaks that will require manual research and remailing to former clients. Researching more updated addresses on Lexis Nexis. Maintaining client remediation file to include updated addresses located. Managing branch emails within the team mailbox.   
 **Ideal candidates**  should have the following:   
 Ability to manage and prioritize numerous inquiries at any given time, along with the ability to analyze and assess risk to the organization and appropriately report that risk to upper management.   
 Excellent organizational skills and ability to multi-task and demonstrate strong negotiation skills and attention to detail.   
 Intermediate to Advanced Excel knowledge, Microsoft Word, Project, PowerPoint, and Access experience.   
 College Degree preferred.   
 Excellent written and verbal communication skills.   
  
**Pay Details:** $27.50 per hour   
  
Benefit offerings available for our associates include medical, dental, vision, life insurance, short-term disability, additional voluntary benefits, EAP program, commuter benefits and a 401K plan. Our benefit offerings provide employees the flexibility to choose the type of coverage that meets their individual needs. In addition, our associates may be eligible for paid leave including Paid Sick Leave or any other paid leave required by Federal, State, or local law, as well as Holiday pay where applicable.   
  
Equal Opportunity Employer/Veterans/Disabled  
  
To read our Candidate Privacy Information Statement, which explains how we will use your information, please navigate to https://www.adeccousa.com/candidate-privacy  
  
The Company will consider qualified applicants with arrest and conviction records subject to federal contractor requirements and/or security clearance requirements."
Financial Analyst (Level I),NATA-Certified | Columbus OH FBO | Rickenbacker Aviation,"Jacksonville, FL, USA","**Financial** **Analyst** - Fin Bus Support Job Description: This position is responsible for the post check activities for a large-scale client remediation. This position requires data validation, branch ..."
