title,company,location,description,hard_skills,soft_skills,keywords
Program Operations Analyst,"RER Solutions, Inc.","Washington, DC, US",description do you want to work for a company that cares about you as a person not just a number for a company that provides outstanding leadership for a company that offers exceptional benefits rer solutions inc could be your new home rer solutions inc is accepting resumes for a program operations analyst to join our superior workforce the program operations analyst will provide communications and design support to theoffice of clean energy demonstrations oceds mission to deliver clean energy demonstration projects at scale in partnership with the private sector to accelerate deployment market adoption and equitable transition to a decarbonized energy system responsibilities provide administrative and logistic support to the federal technical project officer or ccor facilitate project and programmatic success create and maintain meeting minutes for negotiations ipt and other project and program level meetings support in preparation of slide decks presentations and document editing assist with project and programlevel records management and data transformation work with federal project manager to update smartsheets project schedules tracking and reporting requirements minimum of us citizenship required to obtain clientissued public trust 2 years of experience in policy role eg congressional office think tank research experience in energy or natural resources desired skills and interest in largescale clean energy demonstration projects particularly in renewable systems carbon capture and removal hydrogen and nuclear energy technologies knowledge of power utilities the energy industry and emerging clean energy technologies is preferred excellent ability to understand and synthesize information into the most important takeaways proficiency in copywriting including excellent editing skills and the ability to ensure alignment with messaging frameworks ability to meet deadlines communicate effectively and prioritize workload incorporating feedback quickly as needed excellent written and oral communication skills resourceful creative problemsolver and committed team player adept at integrating feedback and iterating on design and communications collateral excellent attention to detail and an understanding of fundamental business writing expertise in microsoft office products ie word excel powerpoint outlook smartsheets and other project management programs education bachelors degree in business administration engineering sustainability economics finance or related field compensation includes paid holidays vacation sick leave 401k matching life insurance health vision and dental benefits this position is not available for corptocorp or 3rd party sourcing we are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race color religion sex national origin disability status protected veteran status or any other characteristic protected by law,"['policy role', 'energy', 'natural resources', 'renewable systems', 'carbon capture', 'removal', 'hydrogen', 'nuclear energy technologies', 'power utilities', 'energy industry', 'emerging clean energy technologies', 'copywriting', 'editing', 'microsoft office', 'word', 'excel', 'powerpoint', 'outlook', 'smartsheets', 'project management']","['excellent ability to understand and synthesize information', 'excellent editing skills', 'ability to ensure alignment with messaging frameworks', 'ability to meet deadlines', 'communicate effectively', 'prioritize workload', 'incorporate feedback quickly', 'excellent written and oral communication skills', 'resourceful', 'creative problem-solver', 'committed team player', 'adept at integrating feedback', 'iterating on design and communications collateral', 'excellent attention to detail', 'understanding of fundamental business writing']","['program operations analyst', 'clean energy demonstration projects', 'renewable systems', 'carbon capture', 'removal', 'hydrogen', 'nuclear energy technologies', 'power utilities', 'energy industry', 'emerging clean energy technologies']"
Senior Salesforce Developer,"Peak Technology Solutions, Inc","Washington, DC, US",job summary the salesforce developer will design code test and implement new salesforce software applications to meet project objectives and support new or expanding business objectives this will include analysis testing and deployment of new or updated software applications candidate must have technical proficiency with the salesforce platform along with general software development expertise candidates should be able to participate in the entire development lifecycle from design through deployment ability to code in the apex language is essential and knowledge of other coding languages is helpful salesforce developer job summary the salesforce developer will work in an agile team environment to contribute expertise to the design and build of worldclass applications to meet evolving requirements and improve our internal and clientfacing salesforce environment the salesforce developer will be working in a supportive and fastpaced team with some of the top experts in the salesforce development industry and will enjoy numerous opportunities to increase your professional knowledge job responsibilities develop customized solutions within the salesforce platform to support critical business functions and meet project objectives client requirements and company goals manage daily support and maintenance of internal salesforce instance and conduct longterm improvement operations to ensure compatibility with evolving mission requirements communicate with project managers clients and other developers to design cohesive project strategies and ensure effective collaboration throughout all phases of development testing and deployment maintain a flexible and proactive work environment to facilitate a quick response to changing project requirements and customer objectives and innovate ways to meet mission goals successfully interact directly with clients managers and end users as necessary to analyze project objectives and capability requirements including specifications for user interfaces customized applications and interactions with internal salesforce instances provide system administration support of internal and customerfacing salesforce environment especially related to customized applications user permissions security settings custom objects and workflow collaborate with various internal departments including marketing product development and operations to ensure salesforce environment supports internal needs relating to functionality and performance job skills qualifications required bachelors degree in computer science or relevant field of study minimum work experience 8 years of software development and 4 years of salesforce application development selfmotivated and creative proficient with apex salesforce lightning visualforce native mysql and javascript preferred salesforce developer certification experience developing customerfacing user interfaces for example see our salesforce developer job responsibilities create applications to interface with salesforce evaluate existing crm and case management processes and determine potential salesforceenabled enhancements oversee solutions design and delivery including integration with existing architecture identify opportunities for crm and einstein analytics automation collaborate with business application owners to advance development of key market tools minimum educationcertification requirements bachelors degree in information technology or related field or equivalent experience job type fulltime schedule monday to friday education bachelors preferred experience business analysis 10 years preferred software development lifecycle 10 years preferred requirements gathering and documentation 10 years preferred ms officepowerpoint 10 years preferred salesforce platform as a developer 5 years preferred apex programming language 5 years preferred visualforce 5 years preferred salesforce security models 5 years preferred ability to relocate washington dc 20003 relocate before starting work required work location in person,"['Salesforce platform', 'Apex programming language', 'Visualforce', 'Salesforce security models', 'Software development lifecycle', 'Requirements gathering and documentation', 'MS Office/PowerPoint', 'Business analysis']","['Self-motivated', 'Creative', 'Communicate with project managers, clients, and other developers', 'Collaborate with various internal departments']","['Salesforce developer', 'Software development', 'Customized solutions', 'Client requirements', 'Company goals', 'Maintenance', 'Compatibility', 'Mission requirements', 'Project strategies', 'Collaboration', 'User interfaces', 'Customized applications', 'Workflow', 'System administration', 'Functionality', 'Performance']"
Salesforce Developer Senior -100% ONSITE,Advanced American Technology INC,"Washington, DC, US",we are looking for asalesforce developer senior min 11 yrs exp onsite webcam interview position description direct client position number of positions 1 length 921months work address washington dc 20003 immediate interviews webcam interview please note this position is 100 onsite looking for an experienced salesforce developer who is always looking for new ways to solve problems meet challenges and improve software capability and functionality the salesforce developer will design code test and implement new salesforce software applications to meet project objectives and support new or expanding business objectives this will include analysis testing and deployment of new or updated software applications candidate must have technical proficiency with the salesforce platform along with general software development expertise candidates should be able to participate in the entire development lifecycle from design through deployment ability to code in the apex language is essential and knowledge of other coding languages is helpful salesforce developer job summary the salesforce developer will work in an agile team environment to contribute expertise to the design and build of worldclass applications to meet evolving requirements and improve our internal and clientfacing salesforce environment the salesforce developer will be working in a supportive and fastpaced team with some of the top experts in the salesforce development industry and will enjoy numerous opportunities to increase your professional knowledge job responsibilities develop customized solutions within the salesforce platform to support critical business functions and meet project objectives client requirements and company goals manage daily support and maintenance of internal salesforce instance and conduct longterm improvement operations to ensure compatibility with evolving mission requirements communicate with project managers clients and other developers to design cohesive project strategies and ensure effective collaboration throughout all phases of development testing and deployment maintain a flexible and proactive work environment to facilitate a quick response to changing project requirements and customer objectives and innovate ways to meet mission goals successfully interact directly with clients managers and end users as necessary to analyze project objectives and capability requirements including specifications for user interfaces customized applications and interactions with internal salesforce instances provide system administration support of internal and customerfacing salesforce environment especially related to customized applications user permissions security settings custom objects and workflow collaborate with various internal departments including marketing product development and operations to ensure salesforce environment supports internal needs relating to functionality and performance job skills qualifications required bachelors degree in computer science or relevant field of study minimum work experience 8 years of software development and 4 years of salesforce application development selfmotivated and creative proficient with apex salesforce lightning visualforce native mysql and javascript preferred salesforce developer certification experience developing customerfacing user interfaces for example see our salesforce developer job responsibilities create applications to interface with salesforce evaluate existing crm and case management processes and determine potential salesforceenabled enhancements oversee solutions design and delivery including integration with existing architecture identify opportunities for crm and einstein analytics automation collaborate with business application owners to advance development of key market tools job description responsibilities 1 demonstrates expertise in conveying technical and functional concepts for a specific technical specialty 2 identifies improvements to project standards to achieve high quality servicesproducts 3 identifies best practices and standards for the use of the product 4 delivers support and design for industry specific technologies that require integration with systems or networks 5 interacts with executive level business users or technical experts 6 functions as a niche technical sme 7 lead experience with technical expertise across large complex implementations for systems minimum educationcertification requirements bachelors degree in information technology or related field or equivalent experience job types fulltime contract pay 6000 8000 per hour experience level 11 years schedule 8 hour shift monday to friday experience bachelors degree in it or related field or equivalent 10 years required business analyst 10 years preferred software development lifecycle 10 years required requirements gathering and documentation 10 years required ms officepowerpoint 8 years required salesforce platform as a developer 10 years required apex programming language 10 years required work experience with visualforce 10 years required salesforce security models 10 years required work location in person,"['Salesforce platform', 'Apex programming language', 'Visualforce', 'Salesforce security models', 'MySQL', 'JavaScript', 'Software development lifecycle', 'Requirements gathering and documentation', 'Microsoft Office/PowerPoint']","['Self-motivated', 'Creative', 'Ability to communicate technical and functional concepts', 'Ability to identify improvements and best practices', 'Ability to interact with executive-level business users and technical experts', 'Ability to function as a technical subject matter expert']","['Salesforce developer', 'Senior', 'Onsite', 'Webcam interview', 'Direct client', 'Washington DC', 'Immediate interviews', '100% onsite', 'Agile team environment', 'Client-facing', 'System administration', 'Customized applications', 'User permissions', 'Security settings', 'Custom objects', 'Workflow', 'CRM', 'Case management', 'Einstein analytics', 'Integration', 'Technical specialty', 'Quality services/products', 'Industry-specific technologies', 'Large complex implementations']"
Data Engineer,Accenture Federal Services,"Laurel, MD, US",at accenture federal services nothing matters more than helping the us federal government make the nation stronger and safer and life better for people our 13000 people are united in a shared purpose to pursue the limitless potential of technology and ingenuity for clients across defense national security public safety civilian and military health organizations join accenture federal services to do the work you love in an inclusive collaborative and caring community where you can be empowered to grow learn and thrive through handson experience certifications industry training and more join us to drive positive lasting change that moves missions and the government forward job description design develop and maintain data solutions for data generation collection and processing create data pipelines ensure data quality and implement etl extract transform and load processes to migrate and deploy data across systems responsibilities design develop and maintain data solutions for data generation collection and processing create data pipelines ensure data quality and implement etl extract transform and load processes to migrate and deploy data across systems collaborate with endusers subject matter experts and internal teams to gather and understand their needs objectives and constraints analyze gathered requirements to identify potential conflicts or gaps work with users to clarify and refine the requirements as needed collaborate with stakeholders to create clear and concise requirement documentation establish traceability between requirements and test cases to ensure endtoend test coverage manage changes throughout the project lifecycle ensuring proper approval and documentation of changes participate in process improvement initiatives to enhance the requirements engineering process collaborate with crossfunctional teams throughout the project lifecycle must have bachelors degree in computer science information technology or related field desired qualifications experience with python r experience with business intelligence tools ex tableau proven experience in requirements engineering business analysis or a related role strong analytic and problemsolving skills with the ability to translate complex ideas into clear and concise requirements excellent interpersonal written and verbal communication skills knowledge of software development lifecycle sdlc processes and methodologies ie agile waterfall etc ability to adapt to changing priorities and work effectively in a dynamic environment compensation for roles at accenture federal services varies depending on a wide array of factors including but not limited to the specific office location role skill set and level of experience as required by local law accenture federal services provides a reasonable range of compensation for roles that may be hired in california colorado new york or washington state as set forth below and information on benefits offered is here role location range of starting pay for role california 117000 214300 colorado 117000 185200 new york 108500 214300 washington state 124700 197300 what we believe we have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization as a business imperative every person at accenture federal services has the responsibility to create and sustain an inclusive environment inclusion and diversity are fundamental to our culture and core values our rich diversity makes us more innovative and more creative which helps us better serve our clients and our communities read more here equal employment opportunity statement accenture federal services is an equal opportunity employer we believe that no one should be discriminated against because of their differences such as age disability ethnicity gender gender identity and expression religion or sexual orientation all employment decisions shall be made without regard to age race creed color religion sex national origin ancestry disability status veteran status sexual orientation gender identity or expression genetic information marital status citizenship status or any other basis as protected by federal state or local law accenture is committed to providing veteran employment opportunities to our service men and women for details view a copy of the accenture equal opportunity and affirmative action policy statement requesting an accommodation accenture federal services is committed to providing equal employment opportunities for persons with disabilities or religious observances including reasonable accommodation when needed if you are hired by accenture federal services and require accommodation to perform the essential functions of your role you will be asked to participate in our reasonable accommodation process accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired if youare being considered for employment opportunities with accenture federal services and need an accommodation for a disability or religious observance during the interview process or for the job you are interviewing for please speak with your recruiter other employment statements applicants for employment in the us must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the united states candidates who are currently employed by a client of accenture federal services or an affiliated accenture business may not be eligible for consideration job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process the company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about discussed or disclosed their own pay or the pay of another employee or applicant additionally employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information unless the disclosure is a in response to a formal complaint or charge b in furtherance of an investigation proceeding hearing or action including an investigation conducted by the employer or c consistent with the companys legal duty to furnish information,"['Python', 'R', 'Business Intelligence', 'Tableau', 'Requirements Engineering', 'Business Analysis', 'Software Development Lifecycle (SDLC)', 'Agile', 'Waterfall']","['Analytic', 'Problem-solving', 'Interpersonal', 'Written Communication', 'Verbal Communication', 'Adaptability']","['Data Generation', 'Data Collection', 'Data Processing', 'Data Pipelines', 'Data Quality', 'ETL (Extract, Transform, Load)', 'Data Migration', 'Data Deployment', 'Collaboration', 'Requirement Gathering', 'Requirement Analysis', 'Requirement Documentation', 'Traceability', 'Change Management', 'Process Improvement']"
Business Analyst,JMA Solutions,"Washington, DC, US",job description jma solutions has an opportunity available for a business analyst who will be providing support for faa business management functions such as budgeting financial analysis and planning and control of funding and allocation of funding these functions include business process analysis to describe and create defined business and operations controls and processes this position is located in washington dc duties include but are not limited to financial and program analysis analyze processes and track and report outcomes and metrics draft recommendations for procedural changes and create modifications to improve the effectiveness of faa processes information management support develop program documentation coordinate and track agreements process program documentation storage and retrieval of program documentation support agreements residing on faa systems eg prism delphi regis fms budget formulation support support budget formulation for both the operations ops and capital investment planning cip for fe funds formulation support for ops and cipfe discretionary increase requests dirs and transition to operations toms prepare omb submission draft responses based on government guidance to omb passbacks formulation support for cipfe budget execution budget support collect and analyze financial and program data and ensure that the budget is executed in accordance with appropriations law agency guidance business rules and established spend plans and priorities financial transactions the contractor must support the review of budget execution transactions including purchase orders pos purchase requests prs purchase card pcps and e2 solutions funding allocations reporting ad hoc status of funds dashboards unfunded requirements job requirements required skills minimum of eleven 11 years of experience ability to analyze and document business processes proficiency in excel education bachelors degree in accounting business management computer scienceeconomics finance information systems information technology mathematics statistics operations research or business administration salary 104000 146000 depending on experience and education levels jma offers a full benefits package including vision health dental life insurance as well as a 401k match jma solutions is an equal opportunityaffirmative action employer and does not discriminate against any applicant for employment on the basis of race color religion sex age sexual orientation gender identity national origin veteran status or physical impairment,"['financial analysis', 'budget formulation', 'budget execution', 'financial transactions', 'business process analysis', 'program documentation', 'data analysis', 'proficiency in Excel']","['business management', 'information management support', 'coordination', 'reporting', 'documentation', 'communication']","['business analyst', 'faa', 'budgeting', 'planning and control', 'funding allocation', 'business and operations controls', 'processes', 'program analysis', 'metrics', 'procedural changes', 'effectiveness', 'agreements', 'program documentation storage and retrieval', 'budget formulation', 'operations', 'capital investment planning', 'omb submission', 'budget execution', 'financial data', 'appropriations law', 'agency guidance', 'business rules', 'spend plans', 'priorities', 'purchase orders', 'purchase requests', 'purchase cards', 'funding allocations', 'dashboards', 'unfunded requirements']"
Junior Business Analyst (Hybrid),ValidaTek,"McLean, VA, US",company overview at validatek we modernize and optimize it services to solve some of the most critical challenges facing federal civilian and defense agencies from customers to partners to toptalent employees validatek puts people first empowering them to exceed expectations and transform government organizations our success starts and ends with our people so we built a company where great people can do great things with the resources and autonomy to make decisions that transform organizations we operate as one team of diverse people united by a passion for continuous growth and optimization our commitment to quality and performance optimization is the reason why our it service projects and new development projects have been appraised at cmmi maturity level 5 positioning us as one of a handful of elite companies to receive the highest form of thirdparty validation wwwvalidatekcom summary does time in excel excite you more than scrolling through instagram are you processdriven and solutionoriented do you enjoy problem solving and performing root cause analysis are you willing to learn the tools of the trade on the job if you answered yes to the questions above please keep reading validatek is seeking an attentiontodetailoriented junior business analyst to support our enterprising program management office pmo team this critical role will collaborate with every layer of the organization from corporate services delivery operations business development and executive leadership the ideal candidate will develop design and implement process quality and improvement programs and initiatives collaborate with quality business process owners and other functional areas on strategic planning for process quality improvements evaluate results of process analysis audits and plan implementation to determine organizational efficiency analyze and resolve process quality issues and needs as they relate to the organizations process performance and adherence to quality requirements hybrid must be able to commute to our hq in mclean virginia responsibilities collects and maintains performance metrics and analyzes data to make recommendations for process improvements maintains updated documentation of business processes and policies prepares and provides performancerelated presentations and reports creates and develops initiatives to improve performance and productivity researches industry trends for application of process improvement techniques and best practices uses quantitative analysis methodology to perform data cost benefit andor process measurement analysis partners with peers on creating and executing strategic initiatives this is not intended to be an allinclusive list of job duties and responsibilities other duties responsibilities and activities may change or be assigned at any time with or without notice role job scope knowledge applies knowledge through education or past experience limited use andor application of basic principles theories and concepts problem solving solves routine problems of limited scope and complexity following established policies and procedures discretionlatitude work is closely supervised follows specific detailed instructions and guidelines impact contributions are usually taskrelated activities errors or failure to achieve results do not have serious effect on organization schedules or programs liaisonleadership contacts are primarily with immediate supervisor project leaders and other staff in the section or group qualifications minimum bachelors degree or equivalent experience preferred degrees business administration data analytics data science andor information systems eligible for a top secret clearance must possess a heightened level of attentiontodetail proficiency in excel required eeo statement validatek is an equal opportunity employer all qualified applicants will receive consideration for employment without regard to race color religion sex national origin age protected veteran status or disability status applicants who are selected for employment will be required to verify authorization to work in the united states offers of employment will be contingent upon passing a postoffer background check,"['data analysis', 'data science', 'information systems', 'process improvement', 'process quality', 'process measurement', 'data cost benefit analysis', 'CMMI maturity level 5']","['attention to detail', 'problem-solving', 'process-driven', 'solution-oriented', 'continuous growth', 'optimization', 'collaboration', 'strategic planning', 'presentation skills']","['business analyst', 'program management office', 'quality', 'performance', 'productivity', 'industry trends', 'quantitative analysis']"
"Modular Open Systems Approach Team Subject Matter Expert, F-35 AV MS PMO",Serco Group,"Crystal City, VA, US",position description serco is excited to begin support to the f35 joint strike fighter jsf program office jpo this contract provides program management support in support of the full acquisition lifecycle of the f35 program to include development production and sustainment this position is contingent upon your ability to maintaintransfer your dod secret clearance our senior program manager modular open systems approach mosa team subject matter expert sme located in crystal city arlington va will provide technicalprogram management pm support to assist the f35 joint program office jpo modular open systems approach mosa open architecture team with determining the applicability and execution of a mosa and integration of open standards within all jpo program management offices pmos and functional organizations this is a hybridtelework position you will be part of a dynamic team of f35 jpo program managers and analysts who works closely with the customer and other key f35 national security and allied stakeholders to deliver quality f35 systems in this role you will assist with developing the overall mosa strategy for the jsf enterprise assist in developing and maintaining a jpo mosa implementation guide oversee integrationimplementation of all standards uai oms face host etc into the jsf platform and trainingmaintenance environments as appropriate provide oversight of open standards conformance verification assist with development of strategic roadmap review contracts and other mosarelated documentation interface and assist with directing ffrdc support team develop requirements for mosa implementation in upcoming capabilities and implementation in major enterprise systems and subsystems eg fusion ew icni assist in developing enterprise training material and coordination of mosa training events assist in reviewing developing new contracts with prime and 3rd party vendors monitor and collaborate with various open standards consortiums to evaluate and monitor sbirs and rfis that may be relevant to the jsf assist with maturing the overall jpo mosa process qualifications to be successful in this role you will have an active dod secret clearance a masters degree in the stated discipline or a bachelors degree plus 4 years additional work experience related to the labor category functional description the ability to provide onsite support at f35 joint program office jpo located in crystal city va no less than 2days per week each week exact days in office at the jpo must be coordinated with f35 customer and approved by your serco manager your onsite days in jpo office including ad hoc meetings may increase to support the needs of the customer at least ten 10 years experience in program management technical or business analysis discipline in weapon systems acquisition and life cycle management and a minimum of six 6 years out of 10 years of recent work experience related to analysis and planning at least three 3 years in support of a major defense acquisition program mdap leadership experience in us servicerelated military operations or defense acquisition program management related to weapons system acquisition employment and life cycle management knowledge in dod instruction dodi 50002 operation of the defense acquisition system dod directive dodd 553003 international agreements and the international cooperation in acquisition technology and logistics ic in atl handbook to provide subject matter expertise to support f35 program in delivering the weapons system to assist with task support of acquisitions financial management risk management systems engineering total ownership cost determination acquisition coordination and communications to demonstrate knowledge of the principles policies and practices of system acquisition to plan organize and coordinate critical aspects of the development production and deployment of systems subsystems and equipment to demonstrate knowledge of the system equipment lifecycle phases and the documentation analyses and reviews associated with those phases the ability to travel 10 additional desired experience and skills knowledge of mosa and how to apply it to legacy aircraft extensive knowledge of engineering and program management best practices knowledge of digital engineering and how to apply it airplane and avionics architecture subject matter expertise company overview serco inc serco is the americas division of serco group plc in north america sercos 9000 employees strive to make an impact every day across 100 sites in the areas of defense citizen services and transportation we help our clients deliver vital services more efficiently while increasing the satisfaction of their end customers serco serves every branch of the us military numerous us federal civilian agencies the intelligence community the canadian government state provincial and local governments and commercial clients while your place may look a little different depending on your role we know you will find yours here wherever you work and whatever you do we invite you to discover your place in our world serco is a place you can count on and where you can make an impact because every contribution matters to review serco benefits please visit httpswwwsercocomnacareersbenefitsofchoosingserco if you require an accommodation with the application process please email careersserconacom or call the hr service desk at 8006286458 option 1 please note due to eeocofccp compliance serco is unable to accept resumes by email candidates may be asked to present proof of identify during the selection process if requested this will require presentation of a governmentissued id with photo with name and address that match the information entered on the application serco will not take possession of or retainstore the information provided as proof of identity for more information on how serco uses your information please see our applicant privacy policy and notice serco does not accept unsolicited resumes through or from search firms or staffing agencies without being a contracted approved vendor all unsolicited resumes will be considered the property of serco and will not be obligated to pay a placement or contract fee if you are interested in becoming an approved vendor at serco please email agenciesserconacom serco is an equal opportunity employer we evaluate qualified applicants without regard to race color religion sex sexual orientation gender identity national origin disability veteran status and other legally protected characteristics,"['program management', 'technical analysis', 'business analysis', 'weapon systems acquisition', 'life cycle management', 'financial management', 'risk management', 'systems engineering', 'acquisition coordination', 'mosa', 'digital engineering', 'airplane and avionics architecture']","['communication', 'leadership']","['f35', 'joint strike fighter', 'jsf', 'program office', 'jpo', 'development', 'production', 'sustainment', 'dod secret clearance', 'modular open systems approach', 'mosa', 'open architecture', 'integration', 'open standards', 'pmos', 'hybrid', 'telework', 'program managers', 'analysts', 'customer', 'stakeholders', 'uai', 'oms', 'face', 'host', 'standards conformance', 'strategic roadmap', 'ffrdc', 'requirements', 'enterprise systems', 'fusion', 'ew', 'icni', 'enterprise training', 'open standards consortiums', 'sbirs', 'rfis', 'jpo mosa process', 'weapon systems acquisition', 'life cycle management', 'dod instruction', 'dodi 5000.02', 'dodd 5000.03', 'international agreements', 'ic in atl', 'system acquisition', 'system equipment lifecycle', 'digital engineering']"
MSP Security Operations Analyst,"M3 Technology Consultants, Inc.","Centreville, VA, US",what do we offer you very competitive compensation package annual fully paid training for continuing education collaborative team environment entrepreneurial work environment career growth with an active mentorship program to help guide your advancement as an it professional health dental vision sick and vacation leave cell phone reimbursement gym membership and more 401k with a generous employer match who are you you are a qualified security operations analyst with 35 years of network administration experience and 4 or more years of systems technician or engineer experience you enjoy designing implementing and maintaining security solutions and feeling confident in helping clients mature their security operations you enjoy working with a team of energetic people who are passionate about technology problemsolving and helping businesses thrive this is client remote work conducted from the business office requires communication with clients so excellent communication skills are required previous experience in a similar client relationship is required our clients will depend on your cool and calm demeanor mixed with a wide range of knowledge in all aspects of technology and is a critical requirement what does your dayweek look like support clients with investigating potential security incidents and triaging accordingly maintain troubleshoot and support companys security stack perform vulnerability scanning and remediation remediation of vulnerabilities by either automation or manual processes to patch systems assist technical staff with incident response threat hunting and service hardening analyze indicators of compromise iocs attend webinars and demos reporting of new systems or information for security team identify deploy and document new security solutions within a security infrastructure what do you need for this amazing opportunity enjoy working in a team environment and communicating effectively excellent organizational skills detailed orientated and able to handle multiple tasks able to prioritize able to meet deadlines selfmotivated able to work independently with little or no supervision excellent verbal and written communication skills with both technical and nontechnical individuals ability to make responsible decisions and problem solve indepth knowledge of configuring and implementing firewalls idsips antivirus siem etc indepth knowledge and experience of windows masos and linux operating systems indepth knowledge of penetration testing and operations indepth knowledge of shell scripting who are we m3 technology consultants is headquartered in centreville va and was founded in 2003 we are a rapidly growing young and dynamic company that has successfully built an industry reputation based on providing our clients with unparalleled it services to businesses across the washington dc and denver colorado area our team of highly skilled it professionals supports small and large businesses spanning numerous industries that require support for line of business applications to disaster recovery physical servernetwork management and network maintenance and management we promote an entrepreneurial work environment with an emphasis on customer service and through empowering great employees we have created a culture of dedicated creative dynamic hardworking and funloving individuals sound good then send us your resume now we want to talk to you,"['network administration', 'systems technician', 'systems engineer', 'security solutions', 'security operations', 'vulnerability scanning', 'vulnerability remediation', 'incident response', 'threat hunting', 'service hardening', 'configuring and implementing firewalls', 'configuring and implementing idsips', 'configuring and implementing antivirus', 'configuring and implementing siem', 'windows', 'macos', 'linux', 'penetration testing', 'shell scripting']","['communication skills', 'organizational skills', 'problem-solving', 'decision-making', 'self-motivated', 'able to work independently', 'able to prioritize', 'able to meet deadlines']","['security operations analyst', 'network administration', 'systems technician', 'systems engineer', 'security solutions', 'security operations', 'vulnerability scanning', 'vulnerability remediation', 'incident response', 'threat hunting', 'service hardening', 'firewalls', 'idsips', 'antivirus', 'siem', 'windows', 'macos', 'linux', 'penetration testing', 'shell scripting', 'communication skills', 'organizational skills', 'problem-solving', 'decision-making', 'self-motivated', 'able to work independently', 'able to prioritize', 'able to meet deadlines']"
SAP Business Analyst *PC 659,Miltenyi Biotec,"Gaithersburg, MD, US",at miltenyi biotec 3000 employees worldwide develop pioneering solutions for biomedical science and the clinical application of cell therapies our multidisciplinary team combines excellence in research with the development of innovative products for the treatment of serious diseases sap business analyst gaithersburg md your tasks this position is responsible for supporting and ensuring the successful completion of analytical building testing and deployment tasks within sap environments essential duties and responsibilities analyze and document requirements in details and design and document the best fit system or modify an existing system develop detailed business requirements and functional specification documents create and deliver training materials and procedures and work instructions to group users develop setups edi maps interface when applicable and document test application and interface changes before setting up users for test train users on software quality assurance processes collect and review test results train users on applications up to superuser level collaborate with and lead cross functional teams to implement and commission solutions define implement and support company kpis assist project manager with project administration tasks such as issue list management task management documentation training and perform project management tasks on some projects document all processes and create workflows sipocs swim lanes and graphs to represent business processes developmonitor performance levels of processes and technologies and evaluaterecommendpropose alternative methods of processing other support project development and documentation tasks as assigned requirements bachelors degree in business administration computer science or related a minimum 5 years of relevant consulting or operations experience or an equivalent combination of education and experience experience in a functional area as needed finance supply chain position managing a customer service planning or production or experience in operations and deploying changes in high compliance environments such as medical pharmaceutical biotech food industry or other experience training users and driving change adoption among various user communities including technicians engineers scientists and management level employees ability to selftrain on information technology systems such as erp mes and other systems using documentation and testing knowledge of sap preferred experience with other tier 1 erp including integration of erp into other systems manufacturing execution systems mes advanced planning systems aps product datalifecycle management pdmplm hr and warehouse management excellent written and verbal communication skills and the ability to communicate effectively with both technical and nontechnical audiences physical demands the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions while performing the duties of this job the employee is regularly required to walk use hands to finger handle or feel reach with hands and arms talk and hear the employee is required to stand climb or balance and stoop kneel crouch the employee must occasionally lift andor move up to 10 pounds specific vision abilities required by this job include close vision color vision peripheral vision depth perception and ability to adjust focus must have ability to handle more than one task at a time and must work at a rapid pace while maintaining attention to detail work environment the work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job this job is performed in a temperature controlled handicapaccessible facility without exposure to extreme hot or cold temperatures generally this job is performed in an office environment this job requires the person to be mobile to visit company sites due to the travel requirements this position may be exposed to natural elements of nature miltenyi biotec is a company that is transforming and progressing our culture is one of bold scientific innovation join a fresh and collaborative working environment that encourages contribution innovation and growth progress prospers with inspiration and curiosity for 30 years miltenyi biotec has been developing products and services that are used in basic research translational research and cell therapy today we are a team of more than 3000 scientists physicians engineers marketers and numerous other specialists at miltenyi biotec innovative ideas are being turned into cutting edge products together we are passionate about driving biomedical progress towards curing severe diseases miltenyi biotec north america inc is an eo employer mfveterandisabilitysexual orientationgender identity miltenyi biotec north america inc participates in everify,"['SAP', 'ERP', 'MES', 'APS', 'PDM/PLM', 'HR', 'Warehouse Management', 'Business Analysis', 'Requirements Analysis', 'Functional Specification', 'Training Development', 'Process Documentation', 'Performance Monitoring', 'Project Management']","['Communication', 'Collaboration', 'Change Management', 'Attention to Detail', 'Multitasking', 'Rapid Pace']","['Biomedical Science', 'Cell Therapy', 'Serious Diseases', 'SAP', 'Business Analyst', 'Analytical', 'Testing', 'Deployment', 'Requirements', 'Functional Specification', 'Training', 'EDI', 'Interface', 'Quality Assurance', 'KPIs', 'Project Management', 'Workflows', 'SIPOC', 'Performance Monitoring', 'ERP', 'MES', 'APS', 'PDM/PLM', 'HR', 'Warehouse Management']"
